Time,Axis_1,Axis_2,Axis_3,Axis_4,Axis_5,Axis_6,Axis_7,Axis_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.476,0.33876,2.89931,4.32261,0.10324,0.61943,0.542,3.87537,0.01962
58.345,7.37465,29.94201,16.81602,5.34255,6.3233,4.92959,0.46504,0.07848
64.292,0.443,11.22826,3.47918,2.11637,4.43922,4.61988,4.01847,0.13734
66.251,1.79806,20.13706,10.54296,1.67761,4.05208,0.85171,0.19079,0.21582
68.309,4.45606,1.7923,4.53347,0.56781,0.61943,1.03238,0.14309,0.21582
70.286,0.23453,12.33527,2.95203,1.05819,1.70342,1.34209,0.08347,0.21582
72.245,0.15635,8.75066,1.26516,0.05162,0.05162,0.20648,8.06078,0.21582
74.258,0.28665,10.91197,5.95677,0.542,0.12905,0.92914,0.3935,0.21582
76.181,1.43324,4.79705,1.7923,1.96151,1.03238,0.12905,7.50034,0.25506
78.098,4.06518,7.32736,10.06853,2.89065,5.34255,0.12905,0.22656,0.25506
80.016,0.52118,4.84976,37.42752,2.89065,0.15486,8.72358,0.11924,0.21582
81.934,4.45606,6.69478,23.87981,0.18067,0.12905,6.29749,0.19079,1.2753
83.71,0.13029,4.32261,6.27306,0.25809,0.77428,0.15486,1.65747,1.53036
85.873,0.15635,4.2699,18.60833,5.00702,1.72923,3.8456,0.72738,0.11772
87.791,0.23453,3.9009,6.90564,0.77428,0.77428,0.77428,0.0,0.0
89.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.205,0.0,0.0,6.69478,0.74847,0.92914,0.36133,0.01192,0.03924
153.111,9.01636,1.15973,24.03795,3.3036,2.83903,0.67104,0.03577,0.03924
154.957,0.18241,3.47918,5.6932,2.70999,5.4974,3.09713,3.8396,0.0981
156.885,4.1173,6.69478,6.11492,0.92914,3.87141,0.30971,8.09655,0.13734
158.822,0.02606,11.22826,3.84818,0.542,4.59407,0.51619,0.11924,0.13734
160.69,1.58959,4.84976,2.8466,1.9357,5.23931,2.24542,0.15501,0.15696
162.607,3.17918,0.31629,12.54613,0.51619,1.75504,12.77565,0.31003,0.17658
164.566,2.60588,14.81286,8.75066,1.18723,1.05819,1.13561,1.49053,0.15696
166.451,0.18241,24.5651,15.07644,0.69685,0.8259,0.80009,8.06078,0.1962
168.437,0.62541,11.96626,6.80021,0.18067,0.23228,0.23228,2.17021,0.21582
170.404,1.56353,9.22509,25.25039,4.49084,1.31628,0.30971,1.5263,0.21582
172.279,0.28665,20.50606,5.11334,0.90333,0.05162,0.05162,7.50034,0.1962
174.134,2.76224,11.07011,20.45335,2.96808,0.64523,0.05162,7.51226,0.1962
176.002,3.28341,9.22509,18.39747,0.18067,0.74847,5.85873,0.16694,0.21582
177.929,0.59935,4.00633,10.06853,1.03238,1.1098,1.34209,0.08347,1.23606
179.907,0.13029,4.00633,6.22035,1.83247,1.21304,0.98076,2.95721,1.41264
181.725,0.10424,7.74908,21.08593,3.3036,1.6518,4.46503,0.72738,0.13734
183.641,0.23453,3.84818,6.7475,0.72266,0.74847,0.77428,0.0,0.0
185.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.92,0.0,0.0,0.0,0.0,0.74847,0.64523,0.03577,0.0981
202.928,2.16288,1.95045,11.54454,3.40684,4.1295,1.03238,0.09539,0.05886
204.857,3.17918,20.87507,18.02847,4.23274,1.47114,2.94227,2.87374,0.05886
206.766,2.44953,7.06379,6.58935,1.52275,5.36835,0.20648,8.09655,0.0981
208.615,0.0,11.17554,3.9009,0.95495,4.10369,2.70999,1.82441,0.07848
210.511,0.0,12.4407,0.73801,0.72266,8.43967,0.02581,0.16694,0.07848
212.429,4.35182,0.10543,12.96784,0.20648,4.54245,1.00657,0.28618,0.05886
214.377,2.78829,28.57143,8.01265,1.13561,8.64615,0.98076,2.62333,0.05886
216.265,0.75571,2.95203,8.11808,2.89065,3.66493,0.10324,2.00327,0.05886
218.187,0.41694,12.8097,6.69478,0.0,0.0,0.2839,8.0727,0.07848
220.101,0.26059,10.96468,3.84818,0.51619,0.69685,2.06475,0.27426,0.05886
222.114,5.13359,13.44228,5.6932,1.21304,0.15486,0.0,7.50034,0.05886
224.119,6.61894,10.64839,14.18028,3.09713,0.12905,0.46457,7.51226,0.05886
226.057,3.30947,23.93253,10.91197,1.18723,0.41295,5.96197,0.16694,0.0981
227.983,0.91206,14.97101,20.40063,5.34255,5.29093,1.60018,0.10732,1.19682
229.932,0.05212,3.58461,5.79863,1.00657,1.3679,2.16799,1.39513,1.2753
231.809,3.62218,12.70427,9.9631,1.16142,0.80009,0.80009,0.79892,0.15696
233.687,0.23453,3.95361,6.69478,0.72266,0.0,0.0,0.0,0.0
235.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
